game_id,fga_home,fg3a_home,fta_home,oreb_home,ast_home,blk_home,pts_home,fga_away,fg3a_away,fta_away,oreb_away,ast_away,tov_away,pts_away,season
29900693,89,17,31,11,19,1,115,92,15,46,13,17,17,108,14
29200869,75,10,21,10,25,7,103,84,11,24,11,14,10,89,7
20300660,76,10,25,17,19,7,85,87,27,18,19,17,17,82,18
21400550,88,31,21,9,31,5,120,86,30,17,8,29,11,100,29
21800865,91,38,19,10,19,4,91,84,31,26,11,21,14,106,33
22100612,87,33,23,7,29,7,122,98,39,15,9,23,5,118,36
29400339,77,12,21,6,27,6,105,88,27,16,13,23,13,93,9
21600724,88,22,15,9,27,4,117,93,24,35,22,18,12,101,31
29900100,79,13,31,16,14,3,73,70,6,37,8,24,18,95,14
20300550,69,3,32,10,23,4,97,78,11,14,10,15,15,71,18
29200668,94,10,20,16,31,6,103,82,15,17,7,21,13,98,7
29100329,87,7,25,13,29,10,112,90,7,24,15,31,11,101,6
21600142,80,27,42,9,28,4,125,71,24,30,5,16,17,99,31
20500750,96,23,20,21,26,7,112,84,14,40,14,22,16,120,20
29500170,80,16,23,12,19,6,102,65,8,34,6,24,17,105,10
22000065,86,36,25,10,26,6,122,96,33,24,14,23,15,119,35
28600643,97,11,20,15,41,5,123,88,7,16,17,28,19,110,1
20601167,92,18,10,14,25,5,98,87,17,29,20,29,14,104,21
21800190,79,33,33,7,24,7,117,89,30,11,8,28,13,109,33
29600375,72,14,26,8,29,5,107,72,15,25,11,27,14,98,11
29200317,91,10,31,15,20,3,94,73,9,37,7,26,20,103,7
20800663,82,33,37,10,29,5,135,87,24,17,4,21,15,111,23
21100974,77,24,24,8,18,2,99,70,25,25,9,19,14,93,26
40600212,85,23,33,19,19,2,102,65,14,25,3,22,17,92,21
21000688,89,21,41,13,27,5,124,108,18,28,13,18,8,117,25
21801114,77,45,32,7,27,6,121,87,23,32,12,27,7,125,33
20500092,75,12,28,9,18,4,100,82,16,26,9,18,13,108,20
28800048,85,7,35,10,25,6,120,101,9,36,19,21,20,121,3
22200171,76,39,35,2,30,4,127,86,26,20,12,24,18,120,37
