,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_corr_selector__threshold,param_model__C,param_model__penalty,param_model__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
51,7.8406435489654545,0.7746520102985619,0.33726072311401367,0.10040624392148385,0.6,10,l2,sag,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': 'l2', 'model__solver': 'sag'}",0.8477637614678899,0.8411469534050179,0.8461648745519713,0.8488888888888889,0.854336917562724,0.8476602791752985,0.004260453922927052,111,0.8648897058823529,0.8576325411334552,0.8608576642335767,0.8693432350893479,0.8701447943001609,0.8645735881277787,0.004814021698182527,82
52,7.538403511047363,1.0835531305250392,0.0,0.0,0.6,10,,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,207,,,,,,,,207
53,7.479688596725464,1.6177525813924718,0.0,0.0,0.6,10,,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': None, 'model__solver': 'newton-cg'}",,,,,,,,208,,,,,,,,208
54,6.661636924743652,0.75112808321594,0.0,0.0,0.6,10,,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': None, 'model__solver': 'newton-cholesky'}",,,,,,,,209,,,,,,,,209
55,7.718441152572632,1.3503465273004867,0.0,0.0,0.6,10,,sag,"{'corr_selector__threshold': 0.6, 'model__C': 10, 'model__penalty': None, 'model__solver': 'sag'}",,,,,,,,210,,,,,,,,210
56,6.576515054702758,0.8187839464641802,0.3418235778808594,0.173790548670689,0.6,1000,l2,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.8477637614678899,0.8411469534050179,0.8461648745519713,0.8488888888888889,0.854336917562724,0.8476602791752985,0.004260453922927052,111,0.8648897058823529,0.8576325411334552,0.8608576642335767,0.8693432350893479,0.8701447943001609,0.8645735881277787,0.004814021698182527,82
57,9.581099510192871,0.9749987949629746,0.4581592082977295,0.12027601946608178,0.6,1000,l2,newton-cg,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': 'l2', 'model__solver': 'newton-cg'}",0.8477637614678899,0.8411469534050179,0.8461648745519713,0.8488888888888889,0.854336917562724,0.8476602791752985,0.004260453922927052,111,0.8648897058823529,0.8576325411334552,0.8608576642335767,0.8693432350893479,0.8701447943001609,0.8645735881277787,0.004814021698182527,82
58,7.46475658416748,0.880920013040558,0.0,0.0,0.6,1000,l2,newton-cholesky,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': 'l2', 'model__solver': 'newton-cholesky'}",,,,,,,,211,,,,,,,,211
59,9.179302310943603,1.265883862718928,0.5629014015197754,0.3913141971389673,0.6,1000,l2,sag,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': 'l2', 'model__solver': 'sag'}",0.8477637614678899,0.8411469534050179,0.8461648745519713,0.8487455197132616,0.854336917562724,0.8476316053401728,0.004252563753777907,125,0.8648897058823529,0.8576325411334552,0.8608576642335767,0.8693129062209842,0.8701447943001609,0.864567522354106,0.004808023386702463,94
60,6.100759029388428,0.7087749023677361,0.0,0.0,0.6,1000,,lbfgs,"{'corr_selector__threshold': 0.6, 'model__C': 1000, 'model__penalty': None, 'model__solver': 'lbfgs'}",,,,,,,,212,,,,,,,,212
