x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
fga_away,fg3m_away,0.0,regression,True,mean absolute error,3.3884,3.4378000761306446,DecisionTreeRegressor()
fga_away,fg3a_away,0.0,regression,True,mean absolute error,8.1414,8.156093955436662,DecisionTreeRegressor()
fg3m_home,reb_away,0.0,regression,True,mean absolute error,5.3172,5.333235689307394,DecisionTreeRegressor()
fga_away,dreb_away,0.0,regression,True,mean absolute error,4.4772,4.524471545533899,DecisionTreeRegressor()
fga_away,blk_away,0.0,regression,True,mean absolute error,1.9744,1.997556473303083,DecisionTreeRegressor()
fga_away,pf_away,0.0,regression,True,mean absolute error,3.8206,3.8505164941579113,DecisionTreeRegressor()
fg3a_away,home_wins,0.0,regression,True,mean absolute error,0.3872,0.4741922288034766,DecisionTreeRegressor()
ftm_away,fgm_home,0.0,regression,True,mean absolute error,4.6202,4.623284793420803,DecisionTreeRegressor()
ftm_away,fga_home,0.0,regression,True,mean absolute error,6.5432,6.556623754575906,DecisionTreeRegressor()
fgm_home,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.4263365289921435,DecisionTreeRegressor()
fta_away,fg3a_home,0.0,regression,True,mean absolute error,8.27,8.277302959700506,DecisionTreeRegressor()
fta_away,oreb_home,0.0,regression,True,mean absolute error,3.4522,3.4664671156528275,DecisionTreeRegressor()
fta_away,dreb_home,0.0,regression,True,mean absolute error,4.366,4.401980254799575,DecisionTreeRegressor()
fta_away,reb_home,0.0,regression,True,mean absolute error,5.3582,5.403435495981615,DecisionTreeRegressor()
fta_away,ast_home,0.0,regression,True,mean absolute error,4.4306,4.471381718654152,DecisionTreeRegressor()
fta_away,stl_home,0.0,regression,True,mean absolute error,2.4324,2.4661112614456693,DecisionTreeRegressor()
fta_away,blk_home,0.0,regression,True,mean absolute error,2.1418,2.1931350226231947,DecisionTreeRegressor()
fta_away,tov_home,0.0,regression,True,mean absolute error,3.2248,3.2386494026410997,DecisionTreeRegressor()
fta_away,oreb_away,0.0,regression,True,mean absolute error,3.3968,3.409426918108428,DecisionTreeRegressor()
ftm_away,fg3m_home,0.0,regression,True,mean absolute error,3.4412,3.477880832231297,DecisionTreeRegressor()
fta_away,dreb_away,0.0,regression,True,mean absolute error,4.4772,4.517584267190551,DecisionTreeRegressor()
fta_away,reb_away,0.0,regression,True,mean absolute error,5.3172,5.360429518360368,DecisionTreeRegressor()
fta_away,ast_away,0.0,regression,True,mean absolute error,4.176,4.176966816619405,DecisionTreeRegressor()
fta_away,stl_away,0.0,regression,True,mean absolute error,2.3614,2.390447675884132,DecisionTreeRegressor()
fta_away,blk_away,0.0,regression,True,mean absolute error,1.9744,2.005569234036132,DecisionTreeRegressor()
fta_away,tov_away,0.0,regression,True,mean absolute error,3.2988,3.3388752733492493,DecisionTreeRegressor()
fta_away,home_wins,0.0,regression,True,mean absolute error,0.3872,0.46589499151289426,DecisionTreeRegressor()
oreb_away,fgm_home,0.0,regression,True,mean absolute error,4.6202,4.6313494006247256,DecisionTreeRegressor()
fta_away,fg3m_home,0.0,regression,True,mean absolute error,3.4412,3.470463272490628,DecisionTreeRegressor()
fta_away,fga_home,0.0,regression,True,mean absolute error,6.5432,6.572766928259414,DecisionTreeRegressor()
