fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,pts_home,plus_minus_home,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,reb_away,ast_away,stl_away,blk_away,tov_away,pf_away,pts_away,play_off,season
45,81,7,13,14,18,13,40,53,26,8,5,23,22,111,35,28,85,6,24,14,23,10,20,30,19,11,4,16,17,76,0,29
35,79,4,10,19,26,14,27,41,23,7,4,16,28,93,-7,33,74,4,11,30,35,13,31,44,20,11,5,16,17,100,0,9
36,79,6,19,20,27,16,36,52,15,5,6,15,15,98,8,35,83,12,33,8,15,11,21,32,26,7,6,12,17,90,0,26
43,79,8,17,25,31,9,26,35,29,12,4,14,23,119,16,39,74,8,14,17,21,7,27,34,22,9,4,23,24,103,0,23
35,75,8,22,22,27,11,36,47,20,8,6,20,25,100,18,32,95,8,29,10,19,19,27,46,24,6,2,18,29,82,0,20
31,78,4,17,17,25,11,30,41,18,12,5,14,17,83,-3,33,74,7,17,13,14,5,34,39,27,6,1,18,20,86,0,26
30,75,2,7,24,34,15,26,41,19,4,3,17,23,86,-20,45,82,3,12,13,18,9,30,39,29,8,4,11,28,106,0,14
44,89,3,7,24,24,8,34,42,31,10,6,14,23,115,12,43,91,3,10,14,25,12,33,45,23,2,5,17,18,103,0,8
44,101,21,44,12,15,14,35,49,29,9,7,8,12,121,12,45,95,13,33,6,8,8,39,47,23,6,6,10,15,109,0,34
37,72,4,7,24,30,7,30,37,26,4,7,16,29,102,-6,38,79,6,12,26,33,12,24,36,19,9,7,8,21,108,0,23
37,72,14,30,10,11,4,34,38,22,3,3,20,23,98,1,36,80,1,11,24,30,7,25,32,10,9,4,8,12,97,0,32
35,85,6,15,21,28,13,30,43,21,6,3,12,25,97,-6,38,88,5,11,22,28,21,35,56,24,6,4,16,23,103,0,12
